House Index,Address,Price,County,Room,Approx price per room
"1. 20 Belfield Park, Stillorgan, Co. Dublin - Apa","20 Belfield Park, Stillorgan, Co. Dublin",2100, Co. Dublin,2,1050.00
"2. Shelbourne Road Apartments, Ballsbridge, Dublin 4 - Apa","Shelbourne Road Apartments, Ballsbridge, Dublin 4",3600, Dublin 4,2,1800.00
"3. The Grange, Brewery Road, Stillorgan, Co. Dublin - Apa","The Grange, Brewery Road, Stillorgan, Co. Dublin",1950, Co. Dublin,2,975.00
"4. Inglenook Wood, Glenamuck Road, Carrickmines, Carrickmines, Dublin 18 - Apa","Inglenook Wood, Glenamuck Road, Carrickmines, Carrickmines, Dublin 18",2100, Dublin 18,2,1050.00
"5. Cathedral Court, Dublin 2 - Apa","Cathedral Court, Dublin 2",2800, Dublin 2,2,1400.00
"6. Cathedral Court, Dublin 2 - Apa","Cathedral Court, Dublin 2",2250, Dublin 2,1,2250.00
"7. Capital Dock, Sir John Rogerson's Quay, Grand Canal Dock, Dublin 2 - Apa","Capital Dock, Sir John Rogerson's Quay, Grand Canal Dock, Dublin 2",3300, Dublin 2,2,1650.00
"8. Vico Terrace, Vico Road, Dalkey, Co. Dublin - Apa","Vico Terrace, Vico Road, Dalkey, Co. Dublin",7000, Co. Dublin,3,2333.33
"9. Bushy Park House, Terenure, Dublin 6w - Apa","Bushy Park House, Terenure, Dublin 6w",1792, Dublin 6w,1,1792.00
"10. Adelaide Square, Dublin 2 - Apar","Adelaide Square, Dublin 2",3400, Dublin 2,2,1700.00
"11. Sweepstakes, Ballsbridge, Dublin 4 - Apar","Sweepstakes, Ballsbridge, Dublin 4",3000, Dublin 4,3,1000.00
"12. 30 The Marker residence, Grand Canal Dock, Dublin 2 - Apar","30 The Marker residence, Grand Canal Dock, Dublin 2",3535, Dublin 2,2,1767.50
"13. Herbert Park Lane, Ballsbridge, Dublin 4 - Apar","Herbert Park Lane, Ballsbridge, Dublin 4",4000, Dublin 4,2,2000.00
"14. The Marker Residence, Grand Canal Dock, Dublin 2 - Apar","The Marker Residence, Grand Canal Dock, Dublin 2",3000, Dublin 2,2,1500.00
"15. 532 The Maple,Beacon South Quarter, Sandyford, Dublin 18 - Apar","532 The Maple,Beacon South Quarter, Sandyford, Dublin 18",2300, Dublin 18,2,1150.00
"16. Levmoss Hall, the Gallops, Leopardstown, Dublin 18 - Apar","Levmoss Hall, the Gallops, Leopardstown, Dublin 18",2250, Dublin 18,2,1125.00
"17. The Grange, Brewery Road, Stillorgan, Co. Dublin - Apar","The Grange, Brewery Road, Stillorgan, Co. Dublin",2400, Co. Dublin,2,1200.00
"18. Clancy Quay by Kennedy Wilson, Dublin 8 - Apar","Clancy Quay by Kennedy Wilson, Dublin 8",1700, Dublin 8,1,1700.00
"19. Vantage by Kennedy Wilson, Central Park, Leopardstown, Dublin 18 - Apar","Vantage by Kennedy Wilson, Central Park, Leopardstown, Dublin 18",2939, Dublin 18,3,979.67
"20. Vantage by Kennedy Wilson, Central Park, Leopardst, Leopardstown, Dublin 18 - Apar","Vantage by Kennedy Wilson, Central Park, Leopardst, Leopardstown, Dublin 18",2300, Dublin 18,2,1150.00
"1. Apartment 2, Garrison, Co. Fermanagh, BT93 4AE - Apa","Apartment 2, Garrison, Co. Fermanagh, BT93 4AE",400456, BT93 4AE,2,200228.00
"1. Sliabh Ard, Bothar Stiofan, Knocknacarra, Co. Galway - Apa","Sliabh Ard, Bothar Stiofan, Knocknacarra, Co. Galway",968, Co. Galway,2,484.00
"2. Edward Square Apartments, Barrack Lane, Galway City, Co. Galway - Apa","Edward Square Apartments, Barrack Lane, Galway City, Co. Galway",988, Co. Galway,3,329.33
"3. Garran Ard, Doughiska, Co. Galway - Apa","Garran Ard, Doughiska, Co. Galway",1300, Co. Galway,3,433.33
"4. Gleann Na Ri, Murrough, Renmore, Renmore, Co. Galway - Apa","Gleann Na Ri, Murrough, Renmore, Renmore, Co. Galway",1065, Co. Galway,2,532.50
