House,Price,County,Room,Approx price per room
" Main St., Castleisland, Co. Kerry",500, Co. Kerry,2,250.00
" Apartment 4 Town Centre, Killorglin, Co. Kerry",600, Co. Kerry,1,600.00
" Kilbrean, Killarney, Co. Kerry",800, Co. Kerry,2,400.00
" New Market Lane, Killarney, Co. Kerry",700, Co. Kerry,2,350.00
" Lissivigeen area, Killarney, Co. Kerry",700, Co. Kerry,1,700.00
" Stradbrook Luxury Appartment, Portlaoise, Co. Laois",875, Co. Laois,2,437.50
" De Vesci Court, Portlaoise, Co. Laois",800, Co. Laois,1,800.00
" De Vesci Court, Fairgreen, Portlaoise, Co. Laois",900, Co. Laois,2,450.00
" Church Street, Portlaoise, Co. Laois",850, Co. Laois,2,425.00
" The Mews, Mountrath Road, Portlaoise, Co. Laois",750, Co. Laois,1,750.00
" Heather Lane, Esker Hills, Portlaoise, Co. Laois",900, Co. Laois,2,450.00
" Lalor Way Fairgreen Portlaoise, Portlaoise, Co. Laois",900, Co. Laois,2,450.00
" College View, Mountmellick, Co. Laois",850, Co. Laois,2,425.00
" The Maples, Forest Park, Portlaoise, Co. Laois",850, Co. Laois,2,425.00
" Lalor Way, Fairgreen, Portlaoise, Co. Laois",900, Co. Laois,2,450.00
" 95, Riverside, Portarlington, Co. Laois",800, Co. Laois,2,400.00
" Kilnacourt Woods, Portarlington, Co. Laois",650, Co. Laois,1,650.00
" Leitrim Village, Leitrim, Co. Leitrim",700, Co. Leitrim,3,233.33
" Bridge Street, Carrick-on-Shannon, Co. Leitrim",480, Co. Leitrim,1,480.00
" Riverview, Carrick-on-Shannon, Co. Leitrim",600, Co. Leitrim,2,300.00
" The Pavillion, Carrick-on-Shannon, Co. Leitrim",650, Co. Leitrim,3,216.67
" Bridge Street, Carrick-on-Shannon, Co. Leitrim",450, Co. Leitrim,1,450.00
" No 9, Carbry Coast, Tullaghan, Co, Tullaghan, Co. Leitrim",450, Co. Leitrim,2,225.00
" Quay Road, Carrick-on-Shannon, Co. Leitrim",550, Co. Leitrim,2,275.00
" Key Street, Carrick-on-Shannon, Co. Leitrim",475, Co. Leitrim,1,475.00
" The Waterfront, Leitrim, Co. Leitrim",700, Co. Leitrim,3,233.33
" 4 Library Corner, Manorhamilton, Co. Leitrim",500, Co. Leitrim,2,250.00
" Ayrefield Manor, Carrick-on-Shannon, Co. Leitrim",550, Co. Leitrim,2,275.00
" Priest Lane, Carrick-on-Shannon, Co. Leitrim",600, Co. Leitrim,2,300.00
" Newtown Mews, Annacotty, Co. Limerick",1400, Co. Limerick,3,466.67
" Kildimo, Kildimo, Co. Limerick",1150, Co. Limerick,2,575.00
" Apartment 1, Block A, Ballycummin Village, Raheen, Co. Limerick",1100, Co. Limerick,2,550.00
" Banantyne place, Steamboat quay, Dock road, Limerick City, Co. Limerick",1400, Co. Limerick,3,466.67
" Drominbeg, Rhebogue, Co. Limerick",1300, Co. Limerick,3,433.33
" Riverpoint, Limerick City, Co. Limerick",1200, Co. Limerick,2,600.00
" Harveys Quay, Limerick City, Co. Limerick",1300, Co. Limerick,2,650.00
" Penthouse Apartment, Charlotte Quay, Limerick, Limerick City, Co. Limerick",1200, Co. Limerick,2,600.00
" Newcastle Court, Castletroy, Co. Limerick",1200, Co. Limerick,2,600.00
" The Strand, O'Callaghan Strand, Limerick City, Co. Limerick",1250, Co. Limerick,1,1250.00
" Riverpoint, Bishops Quay, Limerick City, Co. Limerick",1400, Co. Limerick,2,700.00
" Main Street, Adare, Co. Limerick",1250, Co. Limerick,2,625.00
" The Strand, O'Callaghans Strand, Limerick City, Co. Limerick",1575, Co. Limerick,3,525.00
" The Strand, O' Callaghan Strand, Limerick City, Co. Limerick",1500, Co. Limerick,2,750.00
" Main Street, Adare, Co. Limerick",1100, Co. Limerick,2,550.00
" An Dun, Church road, Raheen, Co. Limerick",1100, Co. Limerick,2,550.00
" Bridgewater Court, Limerick City, Co. Limerick",1200, Co. Limerick,2,600.00
" Coolbane, Castleconnell, Co. Limerick",950, Co. Limerick,3,316.67
" Oakdale Court, Ennis Road, Co. Limerick",850, Co. Limerick,1,850.00
" Palmerstown Court, Limerick City, Co. Limerick",1200, Co. Limerick,3,400.00
" Main Street, Granard, Co. Longford",400, Co. Longford,1,400.00
" Sandy Lane, Richmond Street Longford, Longford Town, Co. Longford",575, Co. Longford,1,575.00
" Sli Na Mona, Ballymahon, Co. Longford",520, Co. Longford,1,520.00
" Cornmill House, Great Water Street, Longford Town, Co. Longford",450, Co. Longford,1,450.00
" The Granary, Ballymahon, Co. Longford",650, Co. Longford,2,325.00
" Creevaghbawn, Creevaghbeg, Mullingar Road, Ballymahon, Co. Longford",520, Co. Longford,1,520.00
" The Mill, Clondra, Clondra, Co. Longford",650, Co. Longford,3,216.67
" Drumlish Road. Longford Town, Longford Town, Co. Longford",600, Co. Longford,1,600.00
" French Hall,Prospect Wood, Longford Town, Co. Longford",600, Co. Longford,2,300.00
" APT 2, Main street, Ballymahon, Co. Longford",650, Co. Longford,2,325.00
" 10 Edgeworth Hall,Prospect Wood, Longford Town, Co. Longford",600, Co. Longford,2,300.00
" 14,The Mill, Clondra, Co. Longford",600, Co. Longford,3,200.00
" Main Street, Granard, Co. Longford",400, Co. Longford,1,400.00
" Main Street, Granard, Co. Longford",400, Co. Longford,1,400.00
" Prucklish, Newtownforbes, Co. Longford",500, Co. Longford,1,500.00
" Main St., Ballymahon, Co. Longford",600, Co. Longford,2,300.00
" Edgeworth Hall, Longford Town, Co. Longford",550, Co. Longford,2,275.00
" 13 Harbour Point, Longford Town, Co. Longford",650, Co. Longford,2,325.00
" Drogheda, Drogheda, Co. Louth",1150, Co. Louth,1,1150.00
" Carroll Village, Dundalk, Co. Louth",1000, Co. Louth,2,500.00
" Main Street Blackrock, Blackrock, Co. Louth",1200, Co. Louth,2,600.00
" St Nicholas Gardens, Dundalk, Co. Louth",950, Co. Louth,2,475.00
" The Granary, Drogheda, Co. Louth",850, Co. Louth,1,850.00
" Brent Way Aston Village, Drogheda, Co. Louth",1150, Co. Louth,2,575.00
" Fair Street House, Drogheda, Co. Louth",1083, Co. Louth,3,361.00
" Clanbrassil Street, Dundalk, Co. Louth",800, Co. Louth,2,400.00
" Earl Street, Dundalk, Co. Louth",650, Co. Louth,2,325.00
" ramparts road, Dundalk, Co. Louth",1200, Co. Louth,2,600.00
" Jocelyn Street, Dundalk, Co. Louth",950, Co. Louth,1,950.00
" 3 The Malthouse, Drogheda, Dromiskin, Co. Louth",1050, Co. Louth,2,525.00
" Greenhills, Drogheda, Co. Louth",800, Co. Louth,1,800.00
" Shop Street, Drogheda, Co. Louth",1000, Co. Louth,1,1000.00
" Shop Street, Drogheda, Co. Louth",1200, Co. Louth,2,600.00
" Martello Dublin Road, Drogheda, Co. Louth",1250, Co. Louth,2,625.00
" Bridge Street, Dundalk, Co. Louth",800, Co. Louth,2,400.00
" Bryanstown Manor, Drogheda, Co. Louth",1200, Co. Louth,2,600.00
" Knockdinnin, Dromin, Co. Louth",850, Co. Louth,2,425.00
" Main Street, Greenore, Carlingford, Co. Louth",695, Co. Louth,1,695.00
" Craobh Ban, Newport, Co Mayo, Newport, Co. Mayo",650, Co. Mayo,2,325.00
" American Street, Belmullet, Co. Mayo",450, Co. Mayo,2,225.00
" Craobh Ban, Newport, Co. Mayo",650, Co. Mayo,2,325.00
" Newline, Castlebar, Co. Mayo",800, Co. Mayo,2,400.00
" Esker Meadows, Knock, Co. Mayo",480, Co. Mayo,2,240.00
" B2 Rosebury Court, Knock, Co. Mayo",500, Co. Mayo,2,250.00
" 22 Silverbridge, Claremorris, Co. Mayo",750, Co. Mayo,2,375.00
" Mount Street, Claremorris, Co. Mayo",750, Co. Mayo,2,375.00
" James Connolly St, Ballina, Co. Mayo",480, Co. Mayo,1,480.00
" Pearse Terrace, Westport, Co. Mayo",640, Co. Mayo,2,320.00
" Main Street, Balla, Co Mayo, Balla, Co. Mayo",600, Co. Mayo,2,300.00
" Breaffy Woods, Castlebar, Co. Mayo",650, Co. Mayo,2,325.00
" Cushlough, Saleen, Castlebar, Co. Mayo",850, Co. Mayo,2,425.00
" Newline, Castlebar, Co.Mayo, Castlebar, Co. Mayo",800, Co. Mayo,2,400.00
" Main Street, Castlebar, Co.Mayo, Castlebar, Co. Mayo",600, Co. Mayo,2,300.00
" Nephin Halls, Hopkins road, Castlebar, Co. Mayo",600, Co. Mayo,2,300.00
" Westport Harbour, Westport, Co. Mayo",800, Co. Mayo,2,400.00
" Morrison Mews, Station Road, Ballina, Co. Mayo",695, Co. Mayo,2,347.50
" Chapel st., Castlebar, Co. Mayo",620, Co. Mayo,2,310.00
" moneen road, Castlebar, Co. Mayo",500, Co. Mayo,1,500.00
" killegland house, Ashbourne, Co. Meath",1475, Co. Meath,2,737.50
" Garden Apartment, Cullenore, Kilcloon, Co. Meath",1250, Co. Meath,2,625.00
" Norbury Hall, Trim, Co. Meath",1250, Co. Meath,2,625.00
" 6 Turry Close, Athboy, Co. Meath",950, Co. Meath,2,475.00
" Bective Square, Kells, Co. Meath",750, Co. Meath,1,750.00
" Grange End, Dunshaughlin, Co. Meath",1400, Co. Meath,2,700.00
" Hampton Rise Mill Lane, Navan, Co. Meath",1100, Co. Meath,2,550.00
" moyvalley Hotel And Golf Resort, Enfield, Co. Meath",1200, Co. Meath,3,400.00
" Moyvalley Hotel and Golf Resort, Enfield, Co. Meath",1400, Co. Meath,3,466.67
" Killegland Hall, Ashbourne, Co. Meath",1450, Co. Meath,2,725.00
" Corballis Demesne, Ratoath, Co. Meath",1250, Co. Meath,1,1250.00
" Cavan Street, Oldcastle, Co. Meath",600, Co. Meath,1,600.00
" The Commons, Duleek, Co. Meath",1150, Co. Meath,2,575.00
" Northlands, Bettystown, Co. Meath",1300, Co. Meath,2,650.00
" Main Street Enfield, Enfield, Co. Meath",950, Co. Meath,1,950.00
" Clonardran, Garlow Cross, Navan, Navan, Co. Meath",850, Co. Meath,1,850.00
" The Courtyard, Dunshaughlin, Co. Meath",1300, Co. Meath,2,650.00
" Patrick Street, Trim, Co. Meath",1300, Co. Meath,3,433.33
" Trim, Trim, Co. Meath",1150, Co. Meath,2,575.00
" Flowerville House, Navan, Co. Meath",1200, Co. Meath,1,1200.00
" Ardee Road, Carrickmacross, Co. Monaghan",750, Co. Monaghan,2,375.00
" Hill Street, Monaghan, Co. Monaghan",585, Co. Monaghan,1,585.00
" Farney Street, Carrickmacross, Co. Monaghan",750, Co. Monaghan,3,250.00
" Main Street, Banagher, Co. Offaly",380, Co. Offaly,1,380.00
" Library Hall, Tullamore, Co. Offaly",775, Co. Offaly,2,387.50
" Bridge Lane, Tullamore, Co. Offaly",650, Co. Offaly,1,650.00
" Kilbride Street, Tullamore, Co. Offaly",700, Co. Offaly,1,700.00
" Castle Mall, Birr, Co. Offaly",550, Co. Offaly,1,550.00
" Kingston fortal, Birr, Co. Offaly",900, Co. Offaly,4,225.00
" Sharavogue Birr, Sharavogue, Co. Offaly",480, Co. Offaly,1,480.00
" Clonmullen Hall, Edenderry, Co. Offaly",900, Co. Offaly,2,450.00
" 20 Colliers Brook, Clonminch Road, Tullamore, Co. Offaly",750, Co. Offaly,1,750.00
" R401, Edenderry, Co. Offaly",900, Co. Offaly,2,450.00
" foxboro, Moneygall, Moneygall, Co. Offaly",550, Co. Offaly,2,275.00
" Market Square, Tullamore, Co. Offaly",850, Co. Offaly,2,425.00
" Apartment No 1, Marian Court, Dublin Rd, Ballaghaderreen, Co. Roscommon",475, Co. Roscommon,2,237.50
" Riverside, Military road, Boyle, Co. Roscommon",450, Co. Roscommon,2,225.00
" APT 7 Abbey Crest, Boyle, Co. Roscommon",450, Co. Roscommon,2,225.00
" 12 Ardsallagh Woods, Roscommon Town, Co. Roscommon",600, Co. Roscommon,1,600.00
" Bofin House, Tarmonbarry, Co. Roscommon",675, Co. Roscommon,2,337.50
" Hodson Bay, Athlone, Co. Roscommon",1500, Co. Roscommon,3,500.00
" Church Street, Strokestown, Co. Roscommon",650, Co. Roscommon,1,650.00
