House,Price,County
"81. Norwood Close, Rochestown, Co. Cork",1200, Co. Cork
"82. 28 Lower Cork Street, Mitchelstown, Co. Cork",1000, Co. Cork
"83. Corrin Court, Cork Road, Fermoy, Co. Cork",795, Co. Cork
"84. 2 The Belfry, John O\'Connell Street, Cobh, Co. Co, Cobh, Co. Cork",1150, Co. Cork
"85. 49 Shearwater, Kinsale, Co. Cork",1750, Co. Cork
"86. First Floor, 19 Military Road, St. Lukes, Co. Cork",1500, Co. Cork
"87. Barrack Street Ballyclough, Mallow, Co. Cork",650, Co. Cork
"88. 210 Pier Head. Allins Quay . Youghal. Co . Cork, Youghal, Co. Cork",750, Co. Cork
"89. Conna Co Cork, Conna, Co. Cork",750, Co. Cork
"90. Black Quay, Hollyhill, Kinsale, Co. Cork",1165, Co. Cork
"91. Orchard Court, Orchard Road, Victoria Cross, Co. Cork",1400, Co. Cork
"92. 25 mill race, mill road, Midleton, Co. Cork",1050, Co. Cork
"93. No. 3 Egmont Court, Earl Street, Kanturk, Co. Cork, Kanturk, Co. Cork",700, Co. Cork
"94. Quartertown,Mallow,Co.Cork, Mallow, Co. Cork",550, Co. Cork
"95. Cloghroe House, Ballincollig, Co. Cork",825, Co. Cork
"96. East End, Drimoleague, Co. Cork",400, Co. Cork
"97. 3 Westside, Fairgreen, New Road, Mallow, Co. Cork",850, Co. Cork
"98. Summerhill South, Cork City, Co. Cork",1200, Co. Cork
"99. 309 Brideholm, Commons Road, Blackpool, Co. Cork",1500, Co. Cork
"100. The Haven, Jacobs island Cork, Mahon, Co. Cork",1600, Co. Cork
"101. Harbour Heights, Passage West, Co. Cork",1450, Co. Cork
"102. main street ballineen, Ballineen, Co. Cork",540, Co. Cork
"103. Flat, spy hill, Cobh, Co. Cork",1100, Co. Cork
"104. North St., Skibbereen, Co. Cork",700, Co. Cork
"105. North St., Skibbereen, Co. Cork",425, Co. Cork
"106. Cappyaughna, Glengarriff, Co. Cork",700, Co. Cork
"1. Main Street, Ballyshannon, Co. Donegal",520, Co. Donegal
"2. Apt 24 Glenveagh Court, Letterkenny, Co. Donegal",800, Co. Donegal
"3. 2 Railway Court, Pearse Road, Letterkenny, Co. Donegal",650, Co. Donegal
"4. 32 Burnside Park, Letterkenny, Co. Donegal",560, Co. Donegal
"5. Apt 4, Main St, St. Johnston, Co. Donegal",390, Co. Donegal
"6. 8 Court Apartment, Banks Lane, Letterkenny, Co. Donegal",900, Co. Donegal
"7. 18 The Fort, Greencastle, Co. Donegal",750, Co. Donegal
"8. 21 Quayside Apartments, Ramelton, Co. Donegal",850, Co. Donegal
"9. 31 Cill Greine, Letterkenny, Co. Donegal",650, Co. Donegal
"10. St Annes Court, Letterkenny, Co. Donegal",550, Co. Donegal
"11. 74a Glentain Manor, Mountain Top, Letterkenny, Co. Donegal",600, Co. Donegal
"12. Trentaboy, Drumkeen, Co. Donegal",600, Co. Donegal
"13. 49 Grand Central Apartments, Letterkenny, Co. Donegal",650, Co. Donegal
"14. 89a The Green Thornberry, Kilmacrennan Rd, Letterkenny, Co. Donegal",650, Co. Donegal
"15. Apt 1 86 Upper Main street, Letterkenny, Co. Donegal",600, Co. Donegal
"16. Apt 2 Mountsouthwell, Market Square, Letterkenny, Co. Donegal",600, Co. Donegal
"17. Riverfront House, Letterkenny, Co. Donegal",620, Co. Donegal
"18. The Barn, Killylastin, Letterkenny, Co. Donegal",500, Co. Donegal
"19. Apt 3 William Street, Raphoe, Co. Donegal",320, Co. Donegal
"20. Coolboy, Letterkenny, Co. Donegal",600, Co. Donegal
"21. riverside, Letterkenny, Co. Donegal",520, Co. Donegal
"22. Riverside View, Letterkenny, Co. Donegal",440, Co. Donegal
"23. 53 Riverside View Apartments, Pearse Road, Letterkenny, Co. Donegal",400, Co. Donegal
"24. Loughnagin Ramelton Road, Letterkenny, Co. Donegal",600, Co. Donegal
"25. Lifford Court Apartments, Lifford, Co. Donegal",440, Co. Donegal
"26. Westside Apartments, Letterkenny, Co. Donegal",520, Co. Donegal
"27. The Maples, Lismonaghan, Letterkenny, Co. Donegal",565, Co. Donegal
"28. Ardmore Court, Upper Main Street, Ballyshannon, Co. Donegal",550, Co. Donegal
"29. 1 Bakers Court, Ballyshannon, Co. Donegal",550, Co. Donegal
"30. 8 Grand central Apartments, Canal Road, Letterkenny, Co. Donegal",700, Co. Donegal
"31. Magheraclogher, Bunbeg, Co. Donegal",460, Co. Donegal
"1. 7 Carlinn's Cove, Rostrevor, Co. Down",700799, Co. Down
"1. The Tower, Smithfield, Dublin 7, Dublin 7",3500, Dublin 7
"2. Vantage by Kennedy Wilson, Central Park, Leopardst, Leopardstown, Dublin 18",2300, Dublin 18
"3. 532 The Maple,Beacon South Quarter, Sandyford, Dublin 18",2300, Dublin 18
"4. 20 Belfield Park, Stillorgan, Co. Dublin",2100, Co. Dublin
"5. Adelaide Square, Dublin 2",3400, Dublin 2
"6. Adelaide Square, Dublin 2",3400, Dublin 2
"7. The Grange, Brewery Road, Stillorgan, Co. Dublin",2400, Co. Dublin
"8. The Grange, Brewery Road, Stillorgan, Co. Dublin",1950, Co. Dublin
"9. Sir John Rogerson's Quay, Grand Canal Dock, Dublin 2",3300, Dublin 2
"10. Vantage by Kennedy Wilson, Central Park, Leopardstown, Dublin 18",2939, Dublin 18
"11. Northbank Apartments, Castleforbes Road, Dublin 1",2350, Dublin 1
"12. Clancy Quay by Kennedy Wilson, Dublin 8",1700, Dublin 8
"13. Sweepstakes, Ballsbridge, Dublin 4",3000, Dublin 4
"14. Longford House Spencer Dock, Dublin 1",2700, Dublin 1
"15. Number 1 Ballsbridge Shelbourne Road, Ballsbridge, Dublin 4",6000, Dublin 4
"16. Number 1 Ballsbridge Shelbourne Road, Ballsbridge, Dublin 4",5500, Dublin 4
"17. Number 1 Ballsbridge Shelbourne Road, Ballsbridge, Dublin 4",5000, Dublin 4
"18. Number 1 Ballsbridge Shelbourne Road, Ballsbridge, Dublin 4",19000, Dublin 4
"19. Number 1 Ballsbridge Shelbourne Road, Ballsbridge, Dublin 4",3850, Dublin 4
"20. 145 147 Waterfall Court, Apt 15, Waterfall Avenue, Drumcondra, Dublin 3",1911, Dublin 3
"21. Rockview, Blackglen Road, Sandyford, Dublin 18",2200, Dublin 18
"22. De Vesci Court, Monkstown, Co. Dublin",2600, Co. Dublin
"23. 83 St Mary's Lane, Ballsbridge, Dublin 4",2600, Dublin 4
"24. OCallaghan Court, Grand Canal Dock, Dublin 2",2250, Dublin 2
"25. Cathedral Court, Dublin 2",3750, Dublin 2
"26. Cathedral Court, Dublin 2",2800, Dublin 2
"27. Cathedral Court, Dublin 2",2250, Dublin 2
"28. Shelbourne Road Apartments, Ballsbridge, Dublin 4",3600, Dublin 4
"29. 24-25 Pearse Square, Grand Canal Dock, Dublin 2",2600, Dublin 2
"30. Millrace Court, Vergemount Road, Clonskeagh, Ranelagh, Dublin 6",3600, Dublin 6
"31. 27 Carlton Court, Clontarf, Dublin 3, Clontarf, Dublin 3",1550, Dublin 3
"32. Mobhi Court, Corporate Letting, Short term, Drumcondra, Dublin 9",2200, Dublin 9
"33. 24 Boden Heath, Ballyboden, Rathfarnham, Dublin 16",1900, Dublin 16
"34. Inglenook Wood, Carrickmines, Dublin 18",2350, Dublin 18
"35. Baggot Court Apartments, Baggot Court, Dublin 2",3200, Dublin 2
"36. 211 The Gates, Beacon South Quarter, Sandyford, Dublin 18",1978, Dublin 18
"37. Alexandra Walk, Dublin 2",2800, Dublin 2
"38. Alexandra Walk, Dublin 2",3200, Dublin 2
"39. Alexandra Walk, Dublin 2",3360, Dublin 2
"40. Adelaide Square, Dublin 2",2600, Dublin 2
"41. Parkview, Stepaside, Dublin 18",1700, Dublin 18
"42. Sandford Lodge by Kennedy Wilson, Ranelagh, Dublin 6",2650, Dublin 6
"43. Greenville Court, Stradbrook Road, Blackrock, Co. Dublin",1850, Co. Dublin
"44. The Meadow, Robswall, Malahide, Co. Dublin",2750, Co. Dublin
"45. Clancy Quay by Kennedy Wilson, Islandbridge, Dublin 8",2800, Dublin 8
"46. Milltown Hall, Mount Saint Annes, Milltown Road, Milltown, Dublin 6",2600, Dublin 6
"47. Ivy Exchange, Parnell Sq, Dublin 1",2500, Dublin 1
"48. The William Bligh, The Gasworks, Barrow Street, Ringsend, Dublin 4",2800, Dublin 4
"49. 28A Longford Terrace, Monkstown, Co. Dublin",2445, Co. Dublin
"50. 45 Parnell Sq West Dublin, Dublin 1",2760, Dublin 1
"51. East Courtyard, Tullyvale, Cabinteely, Dublin 18",3000, Dublin 18
"52. Booterstown Wood, Booterstown Avenue, Booterstown, Co. Dublin",2541, Co. Dublin
"53. Upper Rathmines Rd, Rathmines, Dublin 6",1700, Dublin 6
"54. Aungier St, Dublin 2",1920, Dublin 2
"55. Apartment 134 Seamount, Blackrock, Co. Dublin",1950, Co. Dublin
"56. The Courtyard, Beechpark, Clonsilla, Dublin 15",1650, Dublin 15
"57. North Great George Street, Dublin 1",3000, Dublin 1
"58. Castlepark Road Dalkey, Co. Dublin, Dalkey, Co. Dublin",5250, Co. Dublin
"59. 37 St Anns, Ailesbury Road, Donnybrook, Dublin 4",4500, Dublin 4
