House,Price,County,Room
"116. 4 Admirals Walk, Kinsale, Co. Cork",1500, Co. Cork,3 
"117. 25 Whitepoint Moorings, Cobh, Co. Cork",1400, Co. Cork,3 
"118. Oakview, Dromahane, Co. Cork",1100, Co. Cork,3
"119. Gortroe, Glengarriff, Co. Cork",1000, Co. Cork,5 
"120. Front Strand, Youghal, Co. Cork",3360, Co. Cork,4 
"121. Carrightwolill, Carrigtwohill, Co. Cork",1075, Co. Cork,2
"122. Poulavone, Ballincollig, Co. Cork",1400, Co. Cork,2 
"123. Janeville, Carrigaline, Co. Cork",1500, Co. Cork,3 
"124. Watercourse Rd., Blackpool, Co. Cork",1650, Co. Cork,2 
"125. 13 Woodfield station road, Blarney, Co. Cork",1300, Co. Cork,3 
"126. Heatherfield, Waterfall, Co. Cork",2400, Co. Cork,5 
"127. Monalahy, Blarney, Co. Cork",1650, Co. Cork,4 
"128. 2 Chapel Gates, Kinsale, Co. Cork",1500, Co. Cork,3 
"129. 2 Bowling Green, St John\'s Hill, Kinsale, Co. Cork",3000, Co. Cork,5 
"130. The Anchorage, Summercove, Kinsale, Co. Cork",3000, Co. Cork,3 
"131. 50 Springmount, Kinsale, Co. Cork",1400, Co. Cork,3 
"132. College View, Ballyvourney, Macroom, Co. Cork",750, Co. Cork,2
"133. Curraclough, Lissarda, Co. Cork",900, Co. Cork,4
"134. 35 Courtyard Lodges, Fota, Co. Cork",1500, Co. Cork,2 
"135. Butlerstown, Courtmacsherry, Co. Cork",900, Co. Cork,4 
"136. 64 Yewlands, Douglas, Co. Cork",1625, Co. Cork,3 
"137. Cloon Cottage, Carrigdownane, Fermoy, Co. Cork",1095, Co. Cork,4 
"138. 30 Bat Donegan Place, Charleville, Co. Cork",800, Co. Cork,2
"139. 6 Oysterhaven Harbour, Oysterhaven Bay, Kinsale, Co. Cork",1300, Co. Cork,2 
"140. Great William O' Brien Street, Cork City, Co. Cork",1092, Co. Cork,3 
"141. 18A Wellington Road, Cork City, Co. Cork",1100, Co. Cork,
