House Index,Address,Price,County,Room,Approx price per room
49,"Rhodaville Estate, Off Main Douglas Road, Douglas, Co. Cork",1840, Co. Cork,3 ,613.33
50,"Firgrove Drive, Bishopstown, Co. Cork",1900, Co. Cork,4 ,475.00
51,"Church Road, Blackrock, Co. Cork",1200, Co. Cork,1,1200.00
52,"Wilton Gardens, Wilton Road, Bishopstown, Co. Cork",1600, Co. Cork,3 ,533.33
53,"Dun Ard, Lotamore, Cork City, Co. Cork",1200, Co. Cork,3,400.00
54,"Elden, Maryborough Hill, Douglas, Co. Cork",1850, Co. Cork,3 ,616.67
55,"Dun Ard, Lotamore, Mayfield, Co. Cork",1200, Co. Cork,3,400.00
56,"Beaupre, Rochestown Road, Rochestown, Co. Cork",1600, Co. Cork,4 ,400.00
57,"Rowan Hill, Mount Oval Village, Clarkes Hill, Rochestown, Co. Cork",1187, Co. Cork,2 ,593.50
58,"Carleton Village Golflinks Road, Youghal. Co.Cork, Youghal, Co. Cork",1000, Co. Cork,3 ,333.33
59,"South Douglas Road, Douglas, Co. Cork",1675, Co. Cork,3 ,558.33
60,"Tir Cluain, Mill Road, Midleton, Cork, Midleton, Co. Cork",1200, Co. Cork,3 ,400.00
61,"'Elgo Cottage', Middle Road, Crosshaven, Co. Cork",675, Co. Cork,1 ,675.00
62,"Elm Grove, Gort An Oir, Castlemartyr, Co. Cork",1050, Co. Cork,3 ,350.00
63,"Cooneys Lane, Grange, Douglas, Co. Cork",1700, Co. Cork,3 ,566.67
64,"Ballyduff, Ballymaloe, Cloyne, Co. Cork",850, Co. Cork,2,425.00
65,"Gurteen House, Gurteen, Bandon, Co. Cork",1500, Co. Cork,5 ,300.00
66,"., Adrigole, Co. Cork",700, Co. Cork,6 ,116.67
67,"Cherrywood, Ballylangley, Bandon, Co. Cork",1250, Co. Cork,4 ,312.50
68,"Derrynagasha, Dunderrow, Kinsale, Co. Cork",1800, Co. Cork,3 ,600.00
69,"Dromidclough Derrigra, Ballineen, Co. Cork",400, Co. Cork,1 ,400.00
70,"9 Woodhaven, Bishopstown, Co. Cork",1625, Co. Cork,3 ,541.67
71,"Front Strand, Youghal, Co. Cork",4000, Co. Cork,4 ,1000.00
72,"3 Castle Desmond, Higher O'Conell Street, Kinsale, Co. Cork",1000, Co. Cork,2,500.00
