House Index,Address,Price,County,Room,Approx price per room
1. ,"Hunters Green(Ref 201) Pollerton, Carlow Town, Co. Carlow",1000, Co. Carlow,3 ,333.33
2. ,"Burrin Manor (ref 94), Tullow Road, Carlow Town, Co. Carlow",850, Co. Carlow,3,283.33
3. ,"Newton Place, Bachelors' Walk, Bagenalstown, Co. Carlow",995, Co. Carlow,2 ,497.50
4. ,"Garryhill, Garryhill, Co. Carlow",1200, Co. Carlow,3 ,400.00
5. ,"Askea Court, O'Brien Road, Carlow Town, Co. Carlow",850, Co. Carlow,2 ,425.00
6. ,"Moanduff, Oldleighlin, Co. Carlow",950, Co. Carlow,4 ,237.50
7. ,"Hunters Green, Pollerton, Carlow Town, Co. Carlow",1100, Co. Carlow,3 ,366.67
8. ,"Clonagoose, Borris, Co. Carlow",800, Co. Carlow,3,266.67
9. ,"The Stables, Dranagh, St. Mullins, Co. Carlow",550, Co. Carlow,1,550.00
10. ,"2 Main Street, Oldleighlin, Co. Carlow",800, Co. Carlow,2,400.00
11. ,"Askea, Carlow Town, Co. Carlow",320, Co. Carlow,1,320.00
12. ,"Milltown, Garryhilll, Garryhill, Co. Carlow",1300, Co. Carlow,4 ,325.00
13. ,"1 John Street R93v262, Graiguecullen, Co. Carlow",550, Co. Carlow,1 ,550.00
14. ,"Browneshill, Carlow Town, Co. Carlow",900, Co. Carlow,2 ,450.00
15. ,"Gilbertstown Rathoe, Rathoe, Co. Carlow",320, Co. Carlow,3 ,106.67
16. ,"Brotherton, Graiguecullen, Co. Carlow",1100, Co. Carlow,3 ,366.67
17. ,"20 Mount Clare Court, Graiguecullen, Co. Carlow",1100, Co. Carlow,3 ,366.67
18. ,"140 ROCHFORT MANOR, Carlow Town, Co. Carlow",1100, Co. Carlow,4 ,275.00
19. ,"Coolkenno, Tullow, Co. Carlow",800, Co. Carlow,8,100.00
20. ,"22 Grange Court, Pollerton, Carlow, Carlow Town, Co. Carlow",900, Co. Carlow,3 ,300.00
