House,Price,County,Room
"54. Beara, Ballincollie Road, Ballyvolane, Co. Cork",1500, Co. Cork,4 
"55. Lee Valley, Lee Valley gold club, Ovens, Co. Cork",1200, Co. Cork,3
"56. The Courtyard Lodge, Longueville House, Ballycloug, Mallow, Co. Cork",3300, Co. Cork,5 
"57. Riverhouse, Tisaxon Beg, Kinsale, Co. Cork",2200, Co. Cork,4
"58. Carrigrohane, Carrigrohane, Co. Cork",2500, Co. Cork,5 
"59. Sherwood Blackrock Road, Blackrock, Co. Cork",4000, Co. Cork,4 
"60. Lisheen Fields, Ballincollig, Co. Cork",1750, Co. Cork,5 
"61. Belfield Abbey, Boreenmanna Road, Ballintemple, Co. Cork",1650, Co. Cork,2 
"62. Seanacloc, Tower, Co. Cork",1500, Co. Cork,3 
"63. The Moorings, Skibbereen, Co. Cork",850, Co. Cork,3 
"64. Oakview Dromahane, Mallow, Co. Cork",1100, Co. Cork,3 
"65. Sheraton Court, Hartlands Avenue, Cork City, Co. Cork",1287, Co. Cork,2
"66. No. 4 Orchard View, Hillview, Banteer, Co. Cork",900, Co. Cork,3
"67. Snave Ballylickey Bantry, Bantry, Co. Cork",800, Co. Cork,3
"68. Ringmahon Avenue, Mahon, Co. Cork",850, Co. Cork,
"69. 95A High Street, Cork City, Co. Cork",1400, Co. Cork,2
"70. Cois An Cnoic, Ballyhubbard, Youghal, Co Cork, Youghal, Co. Cork",1800, Co. Cork,5 
"71. ., Adrigole, Co. Cork",700, Co. Cork,6 
"72. Derrynagasha, Dunderrow, Kinsale, Co. Cork",1800, Co. Cork,3 
"73. Gurteen House, Gurteen, Bandon, Co. Cork",1500, Co. Cork,5 
"74. Limerick Rd, Kildorrery near, Mitchelstown, Co. Cork",975, Co. Cork,3 
"75. Limerick Rd, Kildorrery near, Fermoy, Co. Cork",975, Co. Cork,3 
"76. Look out Main Street, Castletownshend, Co. Cork",800, Co. Cork,3 
"77. Glentaff, Union Hall, Co. Cork",600, Co. Cork,3
"78. Rosscarrig Rathmore, Baltimore, Co. Cork",1300, Co. Cork,4 
"79. Minanes, Drinagh, Co. Cork",1300, Co. Cork,6 
"80. The Paddock Drinagh Village, Drinagh, Co. Cork",450, Co. Cork,
"81. Minanes, Drinagh, Co. Cork",1300, Co. Cork,6 
"82. Rosscarrig Rathmore, Baltimore, Co. Cork",1300, Co. Cork,4 
"83. Millview Terrace, Skibbereen, Co. Cork",850, Co. Cork,3 
"84. Main Street, Drimoleague, Co. Cork",850, Co. Cork,4 
"85. Teernaspideoga, Inchigeelagh, Co. Cork",400, Co. Cork,2
"86. Millview, Kanturk, Co. Cork",1100, Co. Cork,4 
"87. Coomhola Bridge, Bantry, Co. Cork",1100, Co. Cork,5 
"88. 1 Rosewood Lawn, Bandon, Co. Cork",1200, Co. Cork,4 
