House,Price,County
"2. 8 Grand central Apartments, Canal Road, Letterkenny, Co. Donegal",700, Co. Donegal
"3. Apt 3 William Street, Raphoe, Co. Donegal",320, Co. Donegal
"4. Tir Chonaill Street, Ballyshannon, Co. Donegal",500, Co. Donegal
"5. 21 Quayside Apartments, Ramelton, Co. Donegal",850, Co. Donegal
"6. Bru na mara, Donegal Town, Co. Donegal",625, Co. Donegal
"7. Carnamuggagh, Mountain Top, Letterkenny, Co. Donegal",480, Co. Donegal
"8. Mill Park Apartments, Donegal Town, Co. Donegal",700, Co. Donegal
"9. 66 Burnside Park, Letterkenny, Co. Donegal",520, Co. Donegal
"10. 31 Cill Greine, Letterkenny, Co. Donegal",650, Co. Donegal
"11. 1 Bakers Court, Ballyshannon, Co. Donegal",550, Co. Donegal
"12. Westside Apartments, Letterkenny, Co. Donegal",520, Co. Donegal
"13. Trentaboy, Drumkeen, Co. Donegal",600, Co. Donegal
"14. Elizabeth Court, West End, Bundoran, Co. Donegal",515, Co. Donegal
"15. 1a New Line Court, Letterkenny, Co. Donegal",475, Co. Donegal
"16. Apt 1, Slieve League View, Carrick, Co. Donegal",450, Co. Donegal
"17. Apt 2, Slieve League View, Carrick, Co. Donegal",550, Co. Donegal
"18. 75a Ashlawn, Letterkenny, Co. Donegal",400, Co. Donegal
"19. Apt 24 Glenveagh Court, Letterkenny, Co. Donegal",800, Co. Donegal
"20. 97A The Green, Thornberry, Letterkenny, Co. Donegal",600, Co. Donegal
"1. 7 Carlinn's Cove, Rostrevor, Co. Down",700799, Co. Down
"1. 13 Adelaide Road, Dublin 2",3200, Dublin 2
"2. The Grange, Brewery Road, Stillorgan, Co. Dublin",1950, Co. Dublin
"3. Northbank, Castleforbes Road, Dublin 1",1950, Dublin 1
"4. Vantage by Kennedy Wilson, Central Park, Leopardstown, Dublin 18",2939, Dublin 18
"5. Vantage by Kennedy Wilson, Central Park, Leopardst, Leopardstown, Dublin 18",2500, Dublin 18
